HomeTeam,AwayTeam,FTHG,FTAG,FTR
Aston Villa,Liverpool,1,2,A
Bolton,Newcastle,1,3,A
Derby,Portsmouth,2,2,D
Everton,Wigan,2,1,H
Middlesbrough,Blackburn,1,2,A
Sunderland,Tottenham,1,0,H
West Ham,Man City,0,2,A
Arsenal,Fulham,2,1,H
Chelsea,Birmingham,3,2,H
Man United,Reading,0,0,D
Tottenham,Everton,1,3,A
Birmingham,Sunderland,2,2,D
Fulham,Bolton,2,1,H
Man City,Derby,1,0,H
Portsmouth,Man United,1,1,D
Reading,Chelsea,1,2,A
Wigan,Middlesbrough,1,0,H
Birmingham,West Ham,0,1,A
Fulham,Middlesbrough,1,2,A
Newcastle,Aston Villa,0,0,D
Portsmouth,Bolton,3,1,H
Reading,Everton,1,0,H
Tottenham,Derby,4,0,H
Wigan,Sunderland,3,0,H
Blackburn,Arsenal,1,1,D
Liverpool,Chelsea,1,1,D
Man City,Man United,1,0,H
Arsenal,Man City,1,0,H
Aston Villa,Fulham,2,1,H
Bolton,Reading,3,0,H
Chelsea,Portsmouth,1,0,H
Derby,Birmingham,1,2,A
Everton,Blackburn,1,1,D
Sunderland,Liverpool,0,2,A
West Ham,Wigan,1,1,D
Man United,Tottenham,1,0,H
Middlesbrough,Newcastle,2,2,D
Bolton,Everton,1,2,A
Fulham,Tottenham,3,3,D
Liverpool,Derby,6,0,H
Man United,Sunderland,1,0,H
Middlesbrough,Birmingham,2,0,H
Newcastle,Wigan,1,0,H
Reading,West Ham,0,3,A
Arsenal,Portsmouth,3,1,H
Aston Villa,Chelsea,2,0,H
Blackburn,Man City,1,0,H
Birmingham,Bolton,1,0,H
Chelsea,Blackburn,0,0,D
Everton,Man United,0,1,A
Portsmouth,Liverpool,0,0,D
Sunderland,Reading,2,1,H
Tottenham,Arsenal,1,3,A
West Ham,Middlesbrough,3,0,H
Wigan,Fulham,1,1,D
Man City,Aston Villa,1,0,H
Derby,Newcastle,1,0,H
Arsenal,Derby,5,0,H
Fulham,Man City,3,3,D
Liverpool,Birmingham,0,0,D
Middlesbrough,Sunderland,2,2,D
Reading,Wigan,2,1,H
Aston Villa,Everton,2,0,H
Blackburn,Portsmouth,0,1,A
Bolton,Tottenham,1,1,D
Man United,Chelsea,2,0,H
Newcastle,West Ham,3,1,H
Birmingham,Man United,0,1,A
Chelsea,Fulham,0,0,D
Derby,Bolton,1,1,D
Man City,Newcastle,3,1,H
Portsmouth,Reading,7,4,H
Sunderland,Blackburn,1,2,A
West Ham,Arsenal,0,1,A
Wigan,Liverpool,0,1,A
Everton,Middlesbrough,2,0,H
Tottenham,Aston Villa,4,4,D
Aston Villa,West Ham,1,0,H
Man United,Wigan,4,0,H
Arsenal,Sunderland,3,2,H
Blackburn,Birmingham,2,1,H
Bolton,Chelsea,0,1,A
Fulham,Portsmouth,0,2,A
Liverpool,Tottenham,2,2,D
Man City,Middlesbrough,3,1,H
Newcastle,Everton,3,2,H
Reading,Derby,1,0,H
Arsenal,Bolton,2,0,H
Aston Villa,Man United,1,4,A
Blackburn,Reading,4,2,H
Everton,Liverpool,1,2,A
Fulham,Derby,0,0,D
Man City,Birmingham,1,0,H
Middlesbrough,Chelsea,0,2,A
Wigan,Portsmouth,0,2,A
West Ham,Sunderland,3,1,H
Newcastle,Tottenham,3,1,H
Birmingham,Wigan,3,2,H
Chelsea,Man City,6,0,H
Man United,Middlesbrough,4,1,H
Portsmouth,West Ham,0,0,D
Reading,Newcastle,2,1,H
Sunderland,Fulham,1,1,D
Bolton,Aston Villa,1,1,D
Derby,Everton,0,2,A
Liverpool,Arsenal,1,1,D
Tottenham,Blackburn,1,2,A
Arsenal,Man United,2,2,D
Aston Villa,Derby,2,0,H
Blackburn,Liverpool,0,0,D
Everton,Birmingham,3,1,H
Fulham,Reading,3,1,H
Middlesbrough,Tottenham,1,1,D
Newcastle,Portsmouth,1,4,A
Wigan,Chelsea,0,2,A
West Ham,Bolton,1,1,D
Man City,Sunderland,1,0,H
Derby,West Ham,0,5,A
Liverpool,Fulham,2,0,H
Sunderland,Newcastle,1,1,D
Birmingham,Aston Villa,1,2,A
Bolton,Middlesbrough,0,0,D
Chelsea,Everton,1,1,D
Man United,Blackburn,2,0,H
Portsmouth,Man City,0,0,D
Tottenham,Wigan,4,0,H
Reading,Arsenal,1,3,A
Arsenal,Wigan,2,0,H
Birmingham,Portsmouth,0,2,A
Bolton,Man United,1,0,H
Derby,Chelsea,0,2,A
Everton,Sunderland,7,1,H
Man City,Reading,2,1,H
Middlesbrough,Aston Villa,0,3,A
Newcastle,Liverpool,0,3,A
Fulham,Blackburn,2,2,D
West Ham,Tottenham,1,1,D
Blackburn,Aston Villa,0,4,A
Aston Villa,Arsenal,1,2,A
Blackburn,Newcastle,3,1,H
Chelsea,West Ham,1,0,H
Portsmouth,Everton,0,0,D
Reading,Middlesbrough,1,1,D
Sunderland,Derby,1,0,H
Wigan,Man City,1,1,D
Liverpool,Bolton,4,0,H
Tottenham,Birmingham,2,3,A
Man United,Fulham,2,0,H
Newcastle,Arsenal,1,1,D
Aston Villa,Portsmouth,1,3,A
Chelsea,Sunderland,2,0,H
Everton,Fulham,3,0,H
Man United,Derby,4,1,H
Newcastle,Birmingham,2,1,H
Reading,Liverpool,3,1,H
Blackburn,West Ham,0,1,A
Bolton,Wigan,4,1,H
Middlesbrough,Arsenal,2,1,H
Tottenham,Man City,2,1,H
Birmingham,Reading,1,1,D
Derby,Middlesbrough,0,1,A
Fulham,Newcastle,0,1,A
Man City,Bolton,4,2,H
Portsmouth,Tottenham,0,1,A
Sunderland,Aston Villa,1,1,D
West Ham,Everton,0,2,A
Wigan,Blackburn,5,3,H
Arsenal,Chelsea,1,0,H
Liverpool,Man United,0,1,A
Arsenal,Tottenham,2,1,H
Aston Villa,Man City,1,1,D
Bolton,Birmingham,3,0,H
Fulham,Wigan,1,1,D
Liverpool,Portsmouth,4,1,H
Middlesbrough,West Ham,1,2,A
Reading,Sunderland,2,1,H
Blackburn,Chelsea,0,1,A
Man United,Everton,2,1,H
Newcastle,Derby,2,2,D
Birmingham,Middlesbrough,3,0,H
Chelsea,Aston Villa,4,4,D
Derby,Liverpool,1,2,A
Everton,Bolton,2,0,H
Portsmouth,Arsenal,0,0,D
Sunderland,Man United,0,4,A
Tottenham,Fulham,5,1,H
West Ham,Reading,1,1,D
Wigan,Newcastle,1,0,H
Man City,Blackburn,2,2,D
Birmingham,Fulham,1,1,D
Chelsea,Newcastle,2,1,H
Everton,Arsenal,1,4,A
Portsmouth,Middlesbrough,0,1,A
Sunderland,Bolton,3,1,H
Tottenham,Reading,6,4,H
West Ham,Man United,2,1,H
Wigan,Aston Villa,1,2,A
Derby,Blackburn,1,2,A
Man City,Liverpool,0,0,D
Arsenal,West Ham,2,0,H
Aston Villa,Tottenham,2,1,H
Fulham,Chelsea,1,2,A
Man United,Birmingham,1,0,H
Middlesbrough,Everton,0,2,A
Reading,Portsmouth,0,2,A
Blackburn,Sunderland,1,0,H
Bolton,Derby,1,0,H
Liverpool,Wigan,1,1,D
Newcastle,Man City,0,2,A
Arsenal,Birmingham,1,1,D
