HomeTeam,AwayTeam,FTHG,FTAG,FTR,TotalHomeMatches,TotalAwayMatches,TotalHomeGoals,TotalAwayGoals,TotalHomeConceded,TotalAwayConceded,TotalHomePoints,TotalAwayPoints,AverageHomeGoalsScored,AverageAwayGoalsScored,AverageHomeGoalsConceded,AverageAwayGoalsConceded,AverageHomePoints,AverageAwayPoints,AverageHomeGoalsScoredLast6,AverageAwayGoalsScoredLast6,AverageHomeGoalsConcededLast6,AverageAwayGoalsConcededLast6,AverageHomePointsLast6,AverageAwayPointsLast6,HistoricalAvgHomePoints,HistoricalAvgAwayPoints,IsItEliteHome,IsItEliteAway
Chelsea,Norwich,1,0,H,12,12,16,16,23,23,11,12,1.3333333333333333,1.3333333333333333,1.9166666666666667,1.9166666666666667,0.9166666666666666,1.0,1.1666666666666667,1.1666666666666667,1.8333333333333333,2.1666666666666665,0.6666666666666666,0.6666666666666666,73.28571428571429,40.0,1,0
Everton,Aston Villa,4,0,H,12,12,20,10,16,20,17,5,1.6666666666666667,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.4166666666666667,0.4166666666666667,2.0,0.6666666666666666,1.8333333333333333,1.8333333333333333,1.3333333333333333,0.16666666666666666,53.285714285714285,51.19047619047619,0,0
Man City,Liverpool,1,4,A,12,12,26,13,9,14,26,17,2.1666666666666665,1.0833333333333333,0.75,1.1666666666666667,2.1666666666666665,1.4166666666666667,2.3333333333333335,1.5,1.1666666666666667,1.1666666666666667,1.8333333333333333,1.5,57.8125,67.71428571428571,1,1
Newcastle,Leicester,0,3,A,12,12,13,25,22,20,10,25,1.0833333333333333,2.0833333333333335,1.8333333333333333,1.6666666666666667,0.8333333333333334,2.0833333333333335,1.6666666666666667,2.0,2.1666666666666665,1.8333333333333333,1.3333333333333333,2.1666666666666665,53.45,42.55555555555556,0,0
Southampton,Stoke,0,1,A,12,12,19,10,13,12,20,16,1.5833333333333333,0.8333333333333334,1.0833333333333333,1.0,1.6666666666666667,1.3333333333333333,2.0,0.8333333333333334,0.8333333333333334,0.5,2.3333333333333335,2.1666666666666665,46.5,47.0,0,0
Swansea,Bournemouth,2,2,D,12,12,12,12,16,25,13,8,1.0,1.0,1.3333333333333333,2.0833333333333335,1.0833333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.8333333333333333,2.6666666666666665,0.6666666666666666,0.16666666666666666,47.75,0.0,0,0
Watford,Man United,1,2,A,12,12,11,17,12,8,16,24,0.9166666666666666,1.4166666666666667,1.0,0.6666666666666666,1.3333333333333333,2.0,1.0,1.3333333333333333,1.1666666666666667,0.5,1.1666666666666667,1.8333333333333333,26.0,81.42857142857143,0,1
West Brom,Arsenal,2,1,H,12,12,10,22,16,9,14,26,0.8333333333333334,1.8333333333333333,1.3333333333333333,0.75,1.1666666666666667,2.1666666666666665,1.0,2.8333333333333335,1.6666666666666667,0.6666666666666666,1.0,2.6666666666666665,38.333333333333336,73.76190476190476,0,1
Tottenham,West Ham,4,1,H,12,12,20,23,10,16,21,21,1.6666666666666667,1.9166666666666667,0.8333333333333334,1.3333333333333333,1.75,1.75,2.5,1.6666666666666667,1.0,1.5,2.0,1.5,56.523809523809526,46.94444444444444,1,0
Crystal Palace,Sunderland,0,1,A,12,12,14,13,12,26,19,6,1.1666666666666667,1.0833333333333333,1.0,2.1666666666666665,1.5833333333333333,0.5,1.0,1.1666666666666667,0.8333333333333334,2.1666666666666665,1.6666666666666667,0.6666666666666666,40.8,39.642857142857146,0,0
Aston Villa,Watford,2,3,A,13,13,10,12,24,14,5,16,0.7692307692307693,0.9230769230769231,1.8461538461538463,1.0769230769230769,0.38461538461538464,1.2307692307692308,0.3333333333333333,1.1666666666666667,2.0,1.3333333333333333,0.16666666666666666,1.1666666666666667,51.19047619047619,26.0,0,0
Bournemouth,Everton,3,3,D,13,13,14,24,27,16,9,20,1.0769230769230769,1.8461538461538463,2.076923076923077,1.2307692307692308,0.6923076923076923,1.5384615384615385,0.8333333333333334,2.1666666666666665,2.6666666666666665,1.5,0.3333333333333333,1.3333333333333333,0.0,53.285714285714285,0,0
Crystal Palace,Newcastle,5,1,H,13,13,14,13,13,25,19,10,1.0769230769230769,1.0,1.0,1.9230769230769231,1.4615384615384615,0.7692307692307693,0.8333333333333334,1.3333333333333333,1.0,2.3333333333333335,1.1666666666666667,1.1666666666666667,40.8,53.45,0,0
Leicester,Man United,1,1,D,13,13,28,19,20,9,28,27,2.1538461538461537,1.4615384615384615,1.5384615384615385,0.6923076923076923,2.1538461538461537,2.076923076923077,2.1666666666666665,1.1666666666666667,1.0,0.6666666666666666,2.6666666666666665,1.8333333333333333,42.55555555555556,81.42857142857143,0,1
Man City,Southampton,3,1,H,13,13,27,19,13,14,26,20,2.076923076923077,1.4615384615384615,1.0,1.0769230769230769,2.0,1.5384615384615385,2.3333333333333335,1.5,1.1666666666666667,0.8333333333333334,1.8333333333333333,1.8333333333333333,57.8125,46.5,1,0
Sunderland,Stoke,2,0,H,13,13,14,11,26,12,9,19,1.0769230769230769,0.8461538461538461,2.0,0.9230769230769231,0.6923076923076923,1.4615384615384615,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.1666666666666667,2.1666666666666665,39.642857142857146,47.0,0,0
Liverpool,Swansea,1,0,H,13,13,17,14,15,18,20,14,1.3076923076923077,1.0769230769230769,1.1538461538461537,1.3846153846153846,1.5384615384615385,1.0769230769230769,1.6666666666666667,1.0,1.0,1.6666666666666667,1.5,0.8333333333333334,67.71428571428571,47.75,1,0
Norwich,Arsenal,1,1,D,13,13,16,23,24,11,12,26,1.2307692307692308,1.7692307692307692,1.8461538461538463,0.8461538461538461,0.9230769230769231,2.0,0.8333333333333334,2.1666666666666665,2.0,0.6666666666666666,0.5,2.1666666666666665,40.0,73.76190476190476,0,1
Tottenham,Chelsea,0,0,D,13,13,24,17,11,23,24,14,1.8461538461538463,1.3076923076923077,0.8461538461538461,1.7692307692307692,1.8461538461538463,1.0769230769230769,2.5,1.0,1.0,1.5,2.0,1.0,56.523809523809526,73.28571428571429,1,1
West Ham,West Brom,1,1,D,13,13,24,12,20,17,21,17,1.8461538461538463,0.9230769230769231,1.5384615384615385,1.3076923076923077,1.6153846153846154,1.3076923076923077,1.5,1.0,1.8333333333333333,1.3333333333333333,1.3333333333333333,1.5,46.94444444444444,38.333333333333336,0,0
